baixo,1st Common Category,2nd Common Category,3rd Common Category,4th Common Category,5th Common Category
Arco do Teles,shop,food,service,outdoors,religion
Baixo Afonso Pena,service,shop,health,food,finance
Baixo Anil,shop,service,transport,state,food
Baixo Bangu,shop,health,service,religion,transport
Baixo Barra da Tijuca,shop,service,food,health,nightlife
Baixo Botafogo,service,shop,food,health,transport
Baixo Cachambi,shop,food,service,nightlife,finance
Baixo Campo Grande,shop,health,service,food,education
Baixo Copacabana,service,shop,food,health,finance
Baixo Del Castilho,shop,service,food,finance,nightlife
Baixo Flamengo,service,shop,health,food,education
Baixo Freguesia,service,health,shop,finance,transport
Baixo Grajaú,shop,health,food,service,nightlife
Baixo Gávea,shop,service,food,education,arts
Baixo Icaraí,shop,food,health,service,nightlife
Baixo Ilha do Governador,service,transport,state,shop,nightlife
Baixo Ipanema,service,shop,food,health,finance
Baixo Jabour,shop,service,food,education,nightlife
Baixo Largo do Machado,shop,service,food,health,outdoors
Baixo Leblon,service,shop,food,health,nightlife
Baixo Madureira,shop,service,health,finance,education
Baixo Marechal,health,education,shop,nightlife,transport
Baixo Maria da Graça,shop,service,education,transport,state
Baixo Méier,shop,health,education,service,religion
Baixo Olaria,shop,health,food,transport,state
Baixo Parque Leopoldina,food,shop,service,health,transport
Baixo Penha,shop,health,food,education,religion
Baixo Praça da Bandeira,shop,service,education,health,transport
Baixo Recreio dos Bandeirantes,shop,service,food,nightlife,health
Baixo Santa Cruz,service,food,shop,nightlife,health
Baixo São Cristóvão,shop,health,food,service,nightlife
Baixo São Francisco (Niterói),shop,service,food,health,nightlife
Baixo São João de Meriti,shop,finance,service,religion,health
Baixo São Salvador,shop,health,food,service,education
Baixo Tanque,shop,service,transport,state,food
Baixo Taquara,shop,food,service,nightlife,health
Baixo Tijuca,shop,food,nightlife,service,health
Baixo Uruguai,shop,food,service,education,transport
Baixo Valqueire,shop,transport,state,food,service
Baixo Vargem Grande,shop,food,service,nightlife,transport
Baixo Vila da Penha,shop,service,finance,health,nightlife
Baixo Vista Alegre,shop,food,health,finance,nightlife
Lapa,service,nightlife,food,shop,outdoors
Pedra do Sal,service,shop,nightlife,food,finance
